Epoch 355/1500: Actor=1.9930257186889648, Critic=0.07810742878913879
Epoch 356/1500: Actor=2.005988670349121, Critic=0.08666778028011322
Epoch 357/1500: Actor=1.9777243003845215, Critic=0.08193328523635865
Epoch 358/1500: Actor=1.9971457481384278, Critic=0.08075406289100646
Epoch 359/1500: Actor=1.971423023223877, Critic=0.07768384313583374
Epoch 360/1500: Actor=1.9735987091064453, Critic=0.08407700562477112
Epoch 361/1500: Actor=1.992063331604004, Critic=0.08737129306793213
Epoch 362/1500: Actor=2.0188264274597167, Critic=0.08528132796287537
Epoch 363/1500: Actor=1.9662212028503419, Critic=0.08191809844970703
Epoch 364/1500: Actor=1.9525769309997558, Critic=0.08068203389644622
Epoch 365/1500: Actor=1.9791271247863769, Critic=0.0827022556066513
Epoch 366/1500: Actor=1.9863117065429687, Critic=0.08082974982261658
Epoch 367/1500: Actor=1.9881344909667968, Critic=0.08891250371932984
Epoch 368/1500: Actor=1.9847426109313966, Critic=0.08175814592838287
Epoch 369/1500: Actor=1.9580888671875, Critic=0.0806126368045807
Epoch 370/1500: Actor=1.9250483818054198, Critic=0.07845963704586029
Epoch 371/1500: Actor=1.941129196166992, Critic=0.08250453805923462
Epoch 372/1500: Actor=1.9774466514587403, Critic=0.08204646408557892
Epoch 373/1500: Actor=1.9249178428649902, Critic=0.07556157803535461
Epoch 374/1500: Actor=1.910343921661377, Critic=0.07433016741275787
Epoch 375/1500: Actor=1.9298792190551757, Critic=0.08037598669528961
Epoch 376/1500: Actor=1.9644921913146973, Critic=0.08537557375431061
Epoch 377/1500: Actor=1.9608958396911622, Critic=0.08302022981643677
Epoch 378/1500: Actor=1.956939365386963, Critic=0.07775870716571807
Epoch 379/1500: Actor=1.9306337699890137, Critic=0.0777698620557785
Epoch 380/1500: Actor=1.9181131286621094, Critic=0.07754950559139252
Epoch 381/1500: Actor=1.908324203491211, Critic=0.07581356751918793
Epoch 382/1500: Actor=1.9117635612487793, Critic=0.07419865441322326
Epoch 383/1500: Actor=1.9433392944335937, Critic=0.07950739252567292
Epoch 384/1500: Actor=1.9247198905944825, Critic=0.07752080154418946
Epoch 385/1500: Actor=1.9179699325561523, Critic=0.08040962660312653
Epoch 386/1500: Actor=1.8868275184631347, Critic=0.07108502686023713
Epoch 387/1500: Actor=1.9297828369140626, Critic=0.08455037820339203
Epoch 388/1500: Actor=1.893501651763916, Critic=0.07866296398639679
Epoch 389/1500: Actor=1.9027987823486328, Critic=0.08180431139469146
Epoch 390/1500: Actor=1.9214434204101563, Critic=0.07804140985012055
Epoch 391/1500: Actor=1.8813732872009277, Critic=0.08467365550994874
Epoch 392/1500: Actor=1.8944706916809082, Critic=0.0845035082101822
Epoch 393/1500: Actor=1.9316542510986328, Critic=0.07976941883563995
Epoch 394/1500: Actor=1.8897728576660155, Critic=0.07930111074447632
